epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.9706,1.0972,0.83419,1,0.37427,0.000332571,0.000332571,0.000332571
2,46.1582,0.52141,0.87009,0.99829,0.33359,0.000652719,0.000652719,0.000652719
3,68.9095,0.42849,0.88376,0.99829,0.29917,0.000959667,0.000959667,0.000959667
4,91.5694,0.37338,0.88205,0.99829,0.32198,0.0009406,0.0009406,0.0009406
5,113.883,0.31441,0.90427,0.99829,0.29644,0.0009208,0.0009208,0.0009208
6,135.974,0.2713,0.8906,1,0.35828,0.000901,0.000901,0.000901
7,158.397,0.26068,0.90085,1,0.31913,0.0008812,0.0008812,0.0008812
8,180.593,0.23721,0.89402,1,0.32037,0.0008614,0.0008614,0.0008614
9,201.994,0.22915,0.91282,0.99829,0.3233,0.0008416,0.0008416,0.0008416
10,223.761,0.19768,0.93504,1,0.25234,0.0008218,0.0008218,0.0008218
11,245.518,0.18259,0.91282,0.99829,0.2871,0.000802,0.000802,0.000802
12,267.032,0.18229,0.91624,1,0.27933,0.0007822,0.0007822,0.0007822
13,288.733,0.16363,0.91111,0.99829,0.27794,0.0007624,0.0007624,0.0007624
14,310.648,0.16415,0.92137,1,0.26997,0.0007426,0.0007426,0.0007426
15,332.084,0.15883,0.90085,1,0.36506,0.0007228,0.0007228,0.0007228
16,353.914,0.1365,0.91966,1,0.28625,0.000703,0.000703,0.000703
17,375.997,0.13068,0.90256,1,0.34466,0.0006832,0.0006832,0.0006832
18,397.366,0.13097,0.93333,1,0.26586,0.0006634,0.0006634,0.0006634
19,419.452,0.11955,0.92821,1,0.27705,0.0006436,0.0006436,0.0006436
20,441.799,0.11565,0.90769,1,0.33935,0.0006238,0.0006238,0.0006238
21,463.716,0.11892,0.9265,1,0.31224,0.000604,0.000604,0.000604
22,486.181,0.11204,0.91111,1,0.30631,0.0005842,0.0005842,0.0005842
23,508.647,0.11295,0.92308,1,0.31623,0.0005644,0.0005644,0.0005644
24,530.638,0.10271,0.93162,1,0.29898,0.0005446,0.0005446,0.0005446
25,552.728,0.10812,0.91111,0.99829,0.35006,0.0005248,0.0005248,0.0005248
26,575.212,0.09968,0.91966,0.99829,0.33756,0.000505,0.000505,0.000505
27,597.692,0.09083,0.9094,0.99829,0.3537,0.0004852,0.0004852,0.0004852
28,619.625,0.08987,0.92308,0.99829,0.32355,0.0004654,0.0004654,0.0004654
29,641.991,0.08776,0.92821,0.99829,0.29599,0.0004456,0.0004456,0.0004456
30,664.132,0.08252,0.91624,0.99829,0.33735,0.0004258,0.0004258,0.0004258
31,685.769,0.08428,0.92479,1,0.37072,0.000406,0.000406,0.000406
32,707.871,0.07329,0.91795,0.99829,0.40223,0.0003862,0.0003862,0.0003862
33,729.984,0.07407,0.93675,0.99829,0.27668,0.0003664,0.0003664,0.0003664
34,751.706,0.07349,0.92479,1,0.3146,0.0003466,0.0003466,0.0003466
35,773.622,0.0725,0.92308,1,0.39404,0.0003268,0.0003268,0.0003268
36,795.677,0.06951,0.92479,1,0.35178,0.000307,0.000307,0.000307
37,817.391,0.07098,0.92137,0.99829,0.37989,0.0002872,0.0002872,0.0002872
38,839.334,0.06299,0.9265,1,0.33317,0.0002674,0.0002674,0.0002674
39,861.633,0.05619,0.90769,1,0.45477,0.0002476,0.0002476,0.0002476
40,883.035,0.0588,0.9265,1,0.34688,0.0002278,0.0002278,0.0002278
41,905.758,0.05568,0.92308,1,0.32365,0.000208,0.000208,0.000208
42,927.988,0.05437,0.92991,1,0.30987,0.0001882,0.0001882,0.0001882
43,949.741,0.06032,0.92991,0.99829,0.33479,0.0001684,0.0001684,0.0001684
44,971.935,0.0525,0.91966,1,0.37032,0.0001486,0.0001486,0.0001486
45,994.066,0.05163,0.92821,1,0.31646,0.0001288,0.0001288,0.0001288
46,1016.21,0.04714,0.92137,1,0.35158,0.000109,0.000109,0.000109
47,1038.02,0.04821,0.93162,1,0.32818,8.92e-05,8.92e-05,8.92e-05
48,1060.31,0.04465,0.93162,1,0.31937,6.94e-05,6.94e-05,6.94e-05
49,1082.5,0.04585,0.93333,1,0.3185,4.96e-05,4.96e-05,4.96e-05
50,1103.96,0.04756,0.93504,1,0.31647,2.98e-05,2.98e-05,2.98e-05
