epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.04646,1.54592,2.75209,1.06465,0.02404,0.96346,0.43422,0.35211,1.33577,3.20161,0.93738,0.00048343,0.00048343,0.00048343
2,15.3886,1.16899,1.14875,0.94146,0.02578,0.94079,0.87516,0.62483,1.11768,2.7233,0.92958,0.000964056,0.000964056,0.000964056
3,21.5817,1.09289,0.92342,0.92593,0.99751,0.60358,0.96365,0.80575,0.82018,1.82965,0.86343,0.00142488,0.00142488,0.00142488
4,27.8361,0.97996,0.82421,0.89746,0.99381,0.94078,0.98876,0.84154,0.72988,0.98673,0.85126,0.00156798,0.00156798,0.00156798
5,34.0225,0.92176,0.75505,0.88877,0.98371,0.94537,0.98553,0.80321,0.7978,0.70694,0.86649,0.00153497,0.00153497,0.00153497
6,40.5214,0.88732,0.70075,0.88412,0.99009,0.9669,0.9935,0.84612,0.68348,0.54006,0.85153,0.00150197,0.00150197,0.00150197
7,46.6532,0.88743,0.66275,0.87265,0.98915,0.96538,0.99376,0.8384,0.67979,0.54785,0.8511,0.00146896,0.00146896,0.00146896
8,52.8347,0.8093,0.62134,0.86581,0.97573,0.95962,0.99116,0.8359,0.68941,0.48635,0.85539,0.00143595,0.00143595,0.00143595
9,58.9301,0.80495,0.60201,0.86602,0.97675,0.98045,0.98889,0.83615,0.65969,0.47114,0.84363,0.00140295,0.00140295,0.00140295
10,65.1303,0.80252,0.58377,0.86643,0.97256,0.98821,0.99337,0.86294,0.61958,0.45758,0.8369,0.00136994,0.00136994,0.00136994
11,71.4135,0.7694,0.55824,0.85632,0.98366,0.97104,0.99339,0.85612,0.62783,0.48558,0.84423,0.00133693,0.00133693,0.00133693
12,77.8085,0.76683,0.54915,0.85432,0.98891,0.98411,0.99239,0.81518,0.63516,0.47335,0.84445,0.00130393,0.00130393,0.00130393
13,83.9696,0.76961,0.53629,0.85033,0.99198,0.99335,0.99419,0.87647,0.60619,0.40186,0.83943,0.00127092,0.00127092,0.00127092
14,90.1515,0.71933,0.50992,0.84339,0.97075,0.98966,0.99376,0.88824,0.54539,0.36843,0.8328,0.00123791,0.00123791,0.00123791
15,96.347,0.7195,0.49105,0.84546,0.9849,0.98839,0.99445,0.89161,0.53243,0.37134,0.83939,0.00120491,0.00120491,0.00120491
16,102.78,0.71842,0.49404,0.84762,0.98965,0.99493,0.99412,0.85537,0.59349,0.35495,0.84686,0.0011719,0.0011719,0.0011719
17,109.013,0.72633,0.4885,0.85383,0.99373,0.9919,0.99423,0.90104,0.50512,0.33889,0.83513,0.00113889,0.00113889,0.00113889
18,115.214,0.78618,0.49725,0.85639,0.99239,0.99741,0.99483,0.84675,0.67617,0.36804,0.85276,0.00110589,0.00110589,0.00110589
19,121.338,0.77546,0.4929,0.85476,0.98252,0.99644,0.99461,0.85478,0.5846,0.35947,0.83804,0.00107288,0.00107288,0.00107288
20,127.504,0.71726,0.47322,0.84244,0.98815,0.99674,0.99424,0.90486,0.48301,0.3461,0.83184,0.00103987,0.00103987,0.00103987
21,133.662,0.64482,0.44763,0.8367,0.99063,0.99805,0.99406,0.9197,0.47919,0.33568,0.83383,0.00100687,0.00100687,0.00100687
22,140.143,0.6592,0.45106,0.83688,0.99111,0.99615,0.99386,0.90086,0.4837,0.34531,0.82806,0.000973861,0.000973861,0.000973861
23,146.321,0.67759,0.45145,0.84282,0.99108,0.99423,0.99444,0.93233,0.44355,0.30657,0.82525,0.000940855,0.000940855,0.000940855
24,152.53,0.63898,0.43592,0.83401,0.98326,0.99615,0.99455,0.91046,0.47036,0.30933,0.8285,0.000907848,0.000907848,0.000907848
25,158.63,0.65631,0.43346,0.84026,0.99159,0.99472,0.99449,0.8984,0.47313,0.31863,0.82916,0.000874842,0.000874842,0.000874842
26,164.767,0.62736,0.42436,0.83296,0.98899,0.98846,0.99471,0.92682,0.46675,0.3272,0.82831,0.000841835,0.000841835,0.000841835
27,171.125,0.63919,0.4203,0.83119,0.99004,0.99654,0.99463,0.92159,0.4866,0.30573,0.83029,0.000808828,0.000808828,0.000808828
28,177.276,0.61798,0.40745,0.82952,0.99134,0.99474,0.99459,0.94146,0.4407,0.28303,0.82721,0.000775822,0.000775822,0.000775822
29,183.429,0.61009,0.40052,0.82713,0.99029,0.99176,0.99453,0.93994,0.41578,0.2956,0.82685,0.000742815,0.000742815,0.000742815
30,189.6,0.61537,0.40173,0.83025,0.98921,0.99424,0.99465,0.9189,0.42933,0.28277,0.8279,0.000709809,0.000709809,0.000709809
31,195.72,0.60218,0.39324,0.8265,0.98741,0.99487,0.99469,0.90456,0.49014,0.31947,0.82845,0.000676802,0.000676802,0.000676802
32,202.198,0.5953,0.3878,0.82483,0.99157,0.99423,0.99465,0.93609,0.40411,0.28207,0.82311,0.000643795,0.000643795,0.000643795
33,208.287,0.59444,0.38793,0.82885,0.98977,0.99732,0.99449,0.93696,0.41877,0.28422,0.82489,0.000610789,0.000610789,0.000610789
34,214.44,0.57769,0.38003,0.82393,0.99184,0.99767,0.99479,0.91557,0.45537,0.28654,0.82769,0.000577782,0.000577782,0.000577782
35,220.495,0.5996,0.38839,0.82387,0.99175,0.99456,0.99471,0.92316,0.49698,0.3003,0.83165,0.000544776,0.000544776,0.000544776
36,226.603,0.58416,0.37979,0.82339,0.98854,0.99758,0.99467,0.92993,0.42924,0.28681,0.82542,0.000511769,0.000511769,0.000511769
37,232.971,0.58467,0.37882,0.82934,0.99352,0.99436,0.99444,0.93848,0.3947,0.26386,0.82377,0.000478762,0.000478762,0.000478762
38,239.194,0.57814,0.37168,0.82052,0.99368,0.99615,0.99445,0.94121,0.40162,0.25914,0.82305,0.000445756,0.000445756,0.000445756
39,245.319,0.56213,0.36192,0.82238,0.99119,0.99615,0.99448,0.94395,0.39572,0.26216,0.82282,0.000412749,0.000412749,0.000412749
40,251.46,0.54995,0.36172,0.8218,0.9903,0.99543,0.99457,0.94624,0.39595,0.26364,0.82447,0.000379743,0.000379743,0.000379743
41,259.212,0.52149,0.35178,0.81583,0.99048,0.99235,0.99459,0.93719,0.40078,0.25741,0.82321,0.000346736,0.000346736,0.000346736
42,265.617,0.50932,0.34116,0.81057,0.99198,0.99064,0.99441,0.92442,0.41676,0.27833,0.82513,0.000313729,0.000313729,0.000313729
43,271.665,0.5076,0.33731,0.81607,0.99159,0.99134,0.99461,0.93446,0.40541,0.2667,0.82241,0.000280723,0.000280723,0.000280723
44,277.815,0.48564,0.32348,0.80984,0.99227,0.99596,0.9946,0.94075,0.37951,0.24851,0.82178,0.000247716,0.000247716,0.000247716
45,283.872,0.4922,0.32445,0.81422,0.9932,0.99386,0.99459,0.9385,0.40297,0.2515,0.82302,0.00021471,0.00021471,0.00021471
46,289.869,0.49067,0.32436,0.81225,0.99123,0.99615,0.99446,0.93798,0.38888,0.25254,0.8243,0.000181703,0.000181703,0.000181703
47,295.86,0.47501,0.31605,0.80995,0.99535,0.99231,0.99455,0.93663,0.39121,0.24333,0.82309,0.000148696,0.000148696,0.000148696
48,302.133,0.47986,0.31584,0.8034,0.99093,0.99615,0.99444,0.94155,0.37427,0.23462,0.82184,0.00011569,0.00011569,0.00011569
49,308.083,0.45797,0.31217,0.80611,0.99129,0.99615,0.99446,0.93888,0.37024,0.24662,0.82268,8.26832e-05,8.26832e-05,8.26832e-05
50,314.105,0.45286,0.3042,0.80032,0.99122,0.99615,0.99463,0.9431,0.38749,0.24014,0.82327,4.96766e-05,4.96766e-05,4.96766e-05
